created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun May 14 04:39:16 +0000 2023;1657606479074177025;"@endmytears @tanyarlfes Masih ada yg beli menantea?";0;0;0;0;in;430714875;1657386469026320385;BolzSensei;https://twitter.com/BolzSensei/status/1657606479074177025
Sun May 14 04:14:40 +0000 2023;1657600288369561600;"@endmytears @tanyarlfes Di tempatku menantea selalu sepi karena sorry ya menurut ku dan beberapa masyarakat dom ku jg kek gaada apa2nya…";0;0;0;2;in;1225251840339537921;1657386469026320385;Wasabi2925;https://twitter.com/Wasabi2925/status/1657600288369561600
Sun May 14 04:13:16 +0000 2023;1657599935930564608;"@endmytears @tanyarlfes Menantea klo ga salah bermasalah  https://t.co/LueJHHB1qM";0;1;1;2;in;1917361231;1657386469026320385;CuanAffiliate;https://twitter.com/CuanAffiliate/status/1657599935930564608
Sun May 14 03:38:48 +0000 2023;1657591262441279488;"@endmytears @tanyarlfes Di mana mana menantea sepi kakk";0;0;0;1;in;938886716093370368;1657386469026320385;ameameer__;https://twitter.com/ameameer__/status/1657591262441279488
Sun May 14 03:07:25 +0000 2023;1657583364415852545;"@endmytears @tanyarlfes Sudah berlalu agak lama...diingetin lg...menantea sepi wkwkkw";0;0;0;1;in;61139982;1657386469026320385;eskacangmerah;https://twitter.com/eskacangmerah/status/1657583364415852545
Sun May 14 03:02:51 +0000 2023;1657582217135280129;"@endmytears @tanyarlfes Menantea parah banget di tempat ku, tiap lewat gak pernah ada yg beli. Pernah adekku beli menantea, aku tanyain knp beli itu, katanya kasian gak pernah ada yg beli";0;2;1;4;in;401915953;1657386469026320385;OnikRachmawatii;https://twitter.com/OnikRachmawatii/status/1657582217135280129
Sun May 14 02:59:56 +0000 2023;1657581482930733056;"@endmytears @tanyarlfes menantea di daerahku malah dah sepi bgt 🥲😂";0;1;0;2;in;1022006259363602433;1657386469026320385;ddochimine;https://twitter.com/ddochimine/status/1657581482930733056
Sun May 14 01:14:39 +0000 2023;1657554987961188353;"@endmytears @tanyarlfes menantea sepi terus dr dulu";0;0;0;1;in;1156851761786658816;1657386469026320385;brohimsa;https://twitter.com/brohimsa/status/1657554987961188353
Sat May 13 23:40:56 +0000 2023;1657531401317785601;"@endmytears @tanyarlfes Tempat aku menantea malah udh tutup .-. Aku pun ckup nyoba sekali beli doang, krna emng jatohnya ckup skli doang, ga pengen lagi gtu ckup ngerasain udh.";0;1;0;3;in;1348918275552366594;1657386469026320385;Lalala64592685;https://twitter.com/Lalala64592685/status/1657531401317785601
Sat May 13 19:15:29 +0000 2023;1657464599095160833;"@endmytears @tanyarlfes menantea kurang sih, buat aku overprice rasanya super biasa aja wkwkwk mana kalo beli makanannya porsi makin berkurang 🙂";0;0;1;0;in;2497886004;1657386469026320385;magnxfcent;https://twitter.com/magnxfcent/status/1657464599095160833
Sat May 13 18:55:03 +0000 2023;1657459457977356288;"@Prianesari Gue kangen beli baso aci akang cuma 3k sama menantea cuma 10k tipnya 2k wkwkwk ngakak 😭";0;0;0;0;in;1649736562584985600;1657450468912799744;unpreserve;https://twitter.com/unpreserve/status/1657459457977356288
Sat May 13 17:34:15 +0000 2023;1657439122200604672;"@endmytears @tanyarlfes Mbaknya domisili Indramayu kah? Soalnya aku tau menantea dari kota itu 😂";0;0;0;3;in;1581175107342327809;1657386469026320385;masmasayamkfc;https://twitter.com/masmasayamkfc/status/1657439122200604672
Sat May 13 16:44:42 +0000 2023;1657426655416324097;"@Ny_leedonghae_ @33nbee @tanyarlfes Menantea emang brpan harganya?? Gapernah ada niat buat beli";0;1;0;0;in;903216760987324416;1657386469026320385;IQIkk1;https://twitter.com/IQIkk1/status/1657426655416324097
Sat May 13 16:14:28 +0000 2023;1657419046688784385;"@endmytears @tanyarlfes Menantea udh kacau dr lama😂";0;0;1;1;in;1250403095911301122;1657386469026320385;leooonhart;https://twitter.com/leooonhart/status/1657419046688784385
Sat May 13 15:47:35 +0000 2023;1657412280689242114;"@dawhaaa ak jg suka menantea apalagi caramel chizu popukon nya :')";0;0;0;0;in;1394048328;1657411828451000322;endmytears;https://twitter.com/endmytears/status/1657412280689242114
Sat May 13 15:45:47 +0000 2023;1657411828451000322;"Menantea enak si, tp kalo buat beli terus-terusan yaa bs boncos";0;1;0;1;in;1217758535905210368;1657411828451000322;dawhaaa;https://twitter.com/dawhaaa/status/1657411828451000322
Sat May 13 15:45:19 +0000 2023;1657411708573614086;"@endmytears @tanyarlfes menantea di kota kuliahku sepi terus sejak awal buka 😭😭😭";0;0;0;1;in;947250454181789696;1657386469026320385;pretteaka;https://twitter.com/pretteaka/status/1657411708573614086
Sat May 13 15:42:09 +0000 2023;1657410912272416769;"@endmytears @tanyarlfes Menantea tmpt ku dah lama tutup ..";0;0;0;1;in;1435031213576654848;1657386469026320385;Buncisrenjun;https://twitter.com/Buncisrenjun/status/1657410912272416769
Sat May 13 15:41:30 +0000 2023;1657410748321239041;"@tanyarlfes perasaan mixue masi rame dehh , malah dtempatku yg AGAK sepi menantea";0;0;0;0;in;1205793295487524864;1657386469026320385;cobaanhidup__;https://twitter.com/cobaanhidup__/status/1657410748321239041
Sat May 13 15:32:11 +0000 2023;1657408405248831489;"@endmytears @tanyarlfes Menantea mah ga laku wkwkw";0;0;0;1;in;1623379540931407872;1657386469026320385;ashelma_hasya;https://twitter.com/ashelma_hasya/status/1657408405248831489
Sat May 13 15:12:20 +0000 2023;1657403411174940674;"@33nbee @endmytears @tanyarlfes Menurutku Menantea enak, tapi tidak cukup enak utk dipatok harga segitu 😭";0;0;1;31;in;765702199;1657386469026320385;auroraaurie;https://twitter.com/auroraaurie/status/1657403411174940674
Sat May 13 15:05:56 +0000 2023;1657401796661489665;"@endmytears @tanyarlfes menantea menurutku overprice:( pdhl rasanya ya so so lah";0;0;0;21;in;1473733204079222789;1657386469026320385;pockykey;https://twitter.com/pockykey/status/1657401796661489665
Sat May 13 15:03:54 +0000 2023;1657401286298566656;"@endmytears @tanyarlfes menantea disini gulung tikar malah";0;0;0;1;in;1287226895646388224;1657386469026320385;anrkvie;https://twitter.com/anrkvie/status/1657401286298566656
Sat May 13 15:03:18 +0000 2023;1657401134489952256;"@endmytears @tanyarlfes Menantea mahal, rasa b aja ga spesial, snack dikit banget mahal lg🗿";0;1;1;35;in;1128891719137746944;1657386469026320385;4nakadashi4;https://twitter.com/4nakadashi4/status/1657401134489952256
